sector;tipo_jornada;periodo;coste_salarial_eur_mes;coste_hora_efectiva_eur;anio;trimestre
Hostelería;Jornada a tiempo completo;2012T3;1423.74;9.33;2012;3
Hostelería;Jornada a tiempo completo;2012T4;1583.5;10.51;2012;4
Hostelería;Jornada a tiempo completo;2013T1;1394.78;8.95;2013;1
Hostelería;Jornada a tiempo completo;2013T2;1500.3;9.4;2013;2
Hostelería;Jornada a tiempo completo;2013T3;1464.7;9.52;2013;3
Hostelería;Jornada a tiempo completo;2013T4;1636.25;10.79;2013;4
Hostelería;Jornada a tiempo completo;2014T1;1413.78;8.95;2014;1
Hostelería;Jornada a tiempo completo;2014T2;1513.89;9.62;2014;2
Hostelería;Jornada a tiempo completo;2014T3;1480.51;9.74;2014;3
Hostelería;Jornada a tiempo completo;2014T4;1641.84;10.67;2014;4
Hostelería;Jornada a tiempo completo;2015T1;1455.91;9.21;2015;1
Hostelería;Jornada a tiempo completo;2015T2;1537.06;9.75;2015;2
Hostelería;Jornada a tiempo completo;2015T3;1482.65;9.65;2015;3
Hostelería;Jornada a tiempo completo;2015T4;1631.25;10.6;2015;4
Hostelería;Jornada a tiempo completo;2016T1;1437.86;9.23;2016;1
Hostelería;Jornada a tiempo completo;2016T2;1515.91;9.4;2016;2
Hostelería;Jornada a tiempo completo;2016T3;1474.84;9.49;2016;3
Hostelería;Jornada a tiempo completo;2016T4;1623.51;10.59;2016;4
Hostelería;Jornada a tiempo completo;2017T1;1456.37;9.21;2017;1
Hostelería;Jornada a tiempo completo;2017T2;1533.19;9.64;2017;2
Hostelería;Jornada a tiempo completo;2017T3;1487.71;9.61;2017;3
Hostelería;Jornada a tiempo completo;2017T4;1617.01;10.65;2017;4
Hostelería;Jornada a tiempo completo;2018T1;1485.62;9.49;2018;1
Hostelería;Jornada a tiempo completo;2018T2;1575.28;9.9;2018;2
Hostelería;Jornada a tiempo completo;2018T3;1508.17;9.84;2018;3
Hostelería;Jornada a tiempo completo;2018T4;1653.17;10.81;2018;4
Hostelería;Jornada a tiempo completo;2019T1;1516.17;9.66;2019;1
Hostelería;Jornada a tiempo completo;2019T2;1568.77;9.98;2019;2
Hostelería;Jornada a tiempo completo;2019T3;1563.91;10.18;2019;3
Hostelería;Jornada a tiempo completo;2019T4;1689.49;11.0;2019;4
Hostelería;Jornada a tiempo completo;2020T1;1419.95;10.11;2020;1
Hostelería;Jornada a tiempo completo;2020T2;569.95;9.99;2020;2
Hostelería;Jornada a tiempo completo;2020T3;1122.65;9.66;2020;3
Hostelería;Jornada a tiempo completo;2020T4;1007.39;10.64;2020;4
Hostelería;Jornada a tiempo completo;2021T1;850.64;9.7;2021;1
Hostelería;Jornada a tiempo completo;2021T2;1136.82;9.47;2021;2
Hostelería;Jornada a tiempo completo;2021T3;1420.94;10.01;2021;3
Hostelería;Jornada a tiempo completo;2021T4;1607.05;10.93;2021;4
Hostelería;Jornada a tiempo completo;2022T1;1502.49;10.01;2022;1
Hostelería;Jornada a tiempo completo;2022T2;1621.85;10.44;2022;2
Hostelería;Jornada a tiempo completo;2022T3;1592.87;10.51;2022;3
Hostelería;Jornada a tiempo completo;2022T4;1736.04;11.66;2022;4
Hostelería;Jornada a tiempo completo;2023T1;1673.77;10.76;2023;1
Hostelería;Jornada a tiempo completo;2023T2;1733.23;11.14;2023;2
Hostelería;Jornada a tiempo completo;2023T3;1657.11;11.1;2023;3
Hostelería;Jornada a tiempo completo;2023T4;1782.3;12.12;2023;4
Hostelería;Jornada a tiempo completo;2024T1;1737.64;11.44;2024;1
Hostelería;Jornada a tiempo completo;2024T2;1808.23;11.55;2024;2
Hostelería;Jornada a tiempo completo;2024T3;1743.07;11.86;2024;3
Hostelería;Jornada a tiempo completo;2024T4;1864.26;12.5;2024;4
Hostelería;Jornada a tiempo completo;2025T1;1766.74;11.67;2025;1
Hostelería;Jornada a tiempo completo;2025T2;1808.38;11.84;2025;2
Hostelería;Jornada a tiempo completo;2025T3;1795.59;12.04;2025;3
Hostelería;Jornada a tiempo completo;2025T4;1896.87;12.68;2025;4
Hostelería;Jornada a tiempo completo;2026T1;1777.7;11.65;2026;1
Hostelería;Jornada a tiempo parcial;2008T1;562.97;7.46;2008;1
Hostelería;Jornada a tiempo parcial;2008T2;621.88;7.59;2008;2
Hostelería;Jornada a tiempo parcial;2008T3;659.68;8.15;2008;3
Hostelería;Jornada a tiempo parcial;2008T4;679.19;8.77;2008;4
Hostelería;Jornada a tiempo parcial;2009T1;588.88;7.68;2009;1
Hostelería;Jornada a tiempo parcial;2009T2;625.66;8.01;2009;2
Hostelería;Jornada a tiempo parcial;2009T3;657.6;7.81;2009;3
Hostelería;Jornada a tiempo parcial;2009T4;680.68;8.73;2009;4
Hostelería;Jornada a tiempo parcial;2010T1;574.06;7.42;2010;1
Hostelería;Jornada a tiempo parcial;2010T2;636.95;7.87;2010;2
Hostelería;Jornada a tiempo parcial;2010T3;684.01;8.2;2010;3
Hostelería;Jornada a tiempo parcial;2010T4;687.47;9.07;2010;4
Hostelería;Jornada a tiempo parcial;2011T1;590.73;7.69;2011;1
Hostelería;Jornada a tiempo parcial;2011T2;660.53;8.26;2011;2
Hostelería;Jornada a tiempo parcial;2011T3;693.94;8.47;2011;3
Hostelería;Jornada a tiempo parcial;2011T4;697.55;9.26;2011;4
Hostelería;Jornada a tiempo parcial;2012T1;596.61;7.79;2012;1
Hostelería;Jornada a tiempo parcial;2012T2;653.54;8.23;2012;2
Hostelería;Jornada a tiempo parcial;2012T3;677.47;8.44;2012;3
Hostelería;Jornada a tiempo parcial;2012T4;673.92;9.33;2012;4
Hostelería;Jornada a tiempo parcial;2013T1;590.31;8.11;2013;1
Hostelería;Jornada a tiempo parcial;2013T2;669.81;8.39;2013;2
Hostelería;Jornada a tiempo parcial;2013T3;725.08;8.62;2013;3
Hostelería;Jornada a tiempo parcial;2013T4;701.66;9.37;2013;4
Hostelería;Jornada a tiempo parcial;2014T1;612.27;8.43;2014;1
Hostelería;Jornada a tiempo parcial;2014T2;678.46;8.72;2014;2
Hostelería;Jornada a tiempo parcial;2014T3;722.57;8.8;2014;3
Hostelería;Jornada a tiempo parcial;2014T4;713.79;9.52;2014;4
Hostelería;Jornada a tiempo parcial;2015T1;633.6;8.67;2015;1
Hostelería;Jornada a tiempo parcial;2015T2;715.87;8.84;2015;2
Hostelería;Jornada a tiempo parcial;2015T3;769.7;8.9;2015;3
Hostelería;Jornada a tiempo parcial;2015T4;737.19;9.64;2015;4
Hostelería;Jornada a tiempo parcial;2016T1;641.77;8.85;2016;1
Hostelería;Jornada a tiempo parcial;2016T2;706.74;8.69;2016;2
Hostelería;Jornada a tiempo parcial;2016T3;752.84;8.91;2016;3
Hostelería;Jornada a tiempo parcial;2016T4;742.83;9.76;2016;4
Hostelería;Jornada a tiempo parcial;2017T1;627.73;8.33;2017;1
Hostelería;Jornada a tiempo parcial;2017T2;727.6;8.92;2017;2
Hostelería;Jornada a tiempo parcial;2017T3;779.7;8.95;2017;3
Hostelería;Jornada a tiempo parcial;2017T4;741.61;9.85;2017;4
Hostelería;Jornada a tiempo parcial;2018T1;664.37;8.98;2018;1
Hostelería;Jornada a tiempo parcial;2018T2;743.58;9.0;2018;2
Hostelería;Jornada a tiempo parcial;2018T3;807.56;9.33;2018;3
Hostelería;Jornada a tiempo parcial;2018T4;766.58;9.98;2018;4
Hostelería;Jornada a tiempo parcial;2019T1;694.45;9.11;2019;1
Hostelería;Jornada a tiempo parcial;2019T2;768.58;9.44;2019;2
Hostelería;Jornada a tiempo parcial;2019T3;827.31;9.81;2019;3
Hostelería;Jornada a tiempo parcial;2019T4;792.11;10.3;2019;4
Hostelería;Jornada a tiempo parcial;2020T1;637.17;9.6;2020;1
Hostelería;Jornada a tiempo parcial;2020T2;298.26;9.4;2020;2
Hostelería;Jornada a tiempo parcial;2020T3;644.56;9.69;2020;3
Hostelería;Jornada a tiempo parcial;2020T4;558.87;9.92;2020;4
Hostelería;Jornada a tiempo parcial;2021T1;506.71;9.78;2021;1
Hostelería;Jornada a tiempo parcial;2021T2;642.13;9.48;2021;2
Hostelería;Jornada a tiempo parcial;2021T3;805.13;9.72;2021;3
Hostelería;Jornada a tiempo parcial;2021T4;793.56;10.48;2021;4
Hostelería;Jornada a tiempo parcial;2022T1;765.62;10.02;2022;1
Hostelería;Jornada a tiempo parcial;2022T2;843.45;9.89;2022;2
Hostelería;Jornada a tiempo parcial;2022T3;976.35;10.17;2022;3
Hostelería;Jornada a tiempo parcial;2022T4;927.29;11.64;2022;4
Hostelería;Jornada a tiempo parcial;2023T1;788.86;9.86;2023;1
Hostelería;Jornada a tiempo parcial;2023T2;935.02;10.46;2023;2
Hostelería;Jornada a tiempo parcial;2023T3;1040.79;10.79;2023;3
Hostelería;Jornada a tiempo parcial;2023T4;944.19;11.97;2023;4
Hostelería;Jornada a tiempo parcial;2024T1;822.29;10.64;2024;1
Hostelería;Jornada a tiempo parcial;2024T2;981.86;10.87;2024;2
Hostelería;Jornada a tiempo parcial;2024T3;1082.59;11.29;2024;3
Hostelería;Jornada a tiempo parcial;2024T4;967.17;12.01;2024;4
Hostelería;Jornada a tiempo parcial;2025T1;851.11;10.83;2025;1
Hostelería;Jornada a tiempo parcial;2025T2;1037.01;11.49;2025;2
Hostelería;Jornada a tiempo parcial;2025T3;1144.31;11.72;2025;3
Hostelería;Jornada a tiempo parcial;2025T4;1038.09;12.67;2025;4
Hostelería;Jornada a tiempo parcial;2026T1;875.44;11.14;2026;1
Información y comunicaciones;Ambas jornadas;2008T1;2560.53;17.47;2008;1
Información y comunicaciones;Ambas jornadas;2008T2;2582.69;17.31;2008;2
Información y comunicaciones;Ambas jornadas;2008T3;2413.36;19.4;2008;3
Información y comunicaciones;Ambas jornadas;2008T4;2694.56;18.54;2008;4
Información y comunicaciones;Ambas jornadas;2009T1;2602.59;17.49;2009;1
Información y comunicaciones;Ambas jornadas;2009T2;2591.26;18.03;2009;2
Información y comunicaciones;Ambas jornadas;2009T3;2536.77;20.19;2009;3
Información y comunicaciones;Ambas jornadas;2009T4;2773.74;19.28;2009;4
Información y comunicaciones;Ambas jornadas;2010T1;2662.79;17.94;2010;1
Información y comunicaciones;Ambas jornadas;2010T2;2639.22;18.12;2010;2
Información y comunicaciones;Ambas jornadas;2010T3;2597.3;20.0;2010;3
Información y comunicaciones;Ambas jornadas;2010T4;2824.2;19.85;2010;4
Información y comunicaciones;Ambas jornadas;2011T1;2727.08;18.1;2011;1
Información y comunicaciones;Ambas jornadas;2011T2;2618.8;18.05;2011;2
Información y comunicaciones;Ambas jornadas;2011T3;2624.25;20.72;2011;3
Información y comunicaciones;Ambas jornadas;2011T4;2840.4;20.06;2011;4
Información y comunicaciones;Ambas jornadas;2012T1;2699.8;17.96;2012;1
Información y comunicaciones;Ambas jornadas;2012T2;2709.39;18.77;2012;2
Información y comunicaciones;Ambas jornadas;2012T3;2635.95;20.51;2012;3
Información y comunicaciones;Ambas jornadas;2012T4;2791.45;19.77;2012;4
Información y comunicaciones;Ambas jornadas;2013T1;2694.03;18.57;2013;1
Información y comunicaciones;Ambas jornadas;2013T2;2783.49;18.67;2013;2
Información y comunicaciones;Ambas jornadas;2013T3;2687.33;20.74;2013;3
Información y comunicaciones;Ambas jornadas;2013T4;2831.46;19.94;2013;4
Información y comunicaciones;Ambas jornadas;2014T1;2754.57;18.3;2014;1
Información y comunicaciones;Ambas jornadas;2014T2;2765.42;19.31;2014;2
Información y comunicaciones;Ambas jornadas;2014T3;2674.07;21.07;2014;3
Información y comunicaciones;Ambas jornadas;2014T4;2855.89;19.62;2014;4
Información y comunicaciones;Ambas jornadas;2015T1;2808.88;18.86;2015;1
Información y comunicaciones;Ambas jornadas;2015T2;2679.82;18.45;2015;2
Información y comunicaciones;Ambas jornadas;2015T3;2676.29;20.71;2015;3
Información y comunicaciones;Ambas jornadas;2015T4;2899.33;20.13;2015;4
Información y comunicaciones;Ambas jornadas;2016T1;2806.62;19.36;2016;1
Información y comunicaciones;Ambas jornadas;2016T2;2699.05;17.69;2016;2
Información y comunicaciones;Ambas jornadas;2016T3;2673.3;20.9;2016;3
Información y comunicaciones;Ambas jornadas;2016T4;2817.68;20.1;2016;4
Información y comunicaciones;Ambas jornadas;2017T1;2687.33;17.73;2017;1
Información y comunicaciones;Ambas jornadas;2017T2;2669.74;18.29;2017;2
Información y comunicaciones;Ambas jornadas;2017T3;2672.06;20.78;2017;3
Información y comunicaciones;Ambas jornadas;2017T4;2902.72;21.02;2017;4
Información y comunicaciones;Ambas jornadas;2018T1;2841.27;19.45;2018;1
Información y comunicaciones;Ambas jornadas;2018T2;2797.02;18.73;2018;2
Información y comunicaciones;Ambas jornadas;2018T3;2801.53;21.63;2018;3
Información y comunicaciones;Ambas jornadas;2018T4;3045.04;21.71;2018;4
Información y comunicaciones;Ambas jornadas;2019T1;2827.55;18.91;2019;1
Información y comunicaciones;Ambas jornadas;2019T2;2872.14;19.94;2019;2
