sector;tipo_jornada;unidad;periodo;valor
Total nacional;Jornada a tiempo completo;Porcentaje;2024T2;86.4
Total nacional;Jornada a tiempo completo;Porcentaje;2024T1;86.2
Total nacional;Jornada a tiempo completo;Porcentaje;2023T4;86.5
Total nacional;Jornada a tiempo completo;Porcentaje;2023T3;87.5
Total nacional;Jornada a tiempo completo;Porcentaje;2023T2;86.5
Total nacional;Jornada a tiempo completo;Porcentaje;2023T1;86.3
Total nacional;Jornada a tiempo completo;Porcentaje;2022T4;86.4
Total nacional;Jornada a tiempo completo;Porcentaje;2022T3;87.2
Total nacional;Jornada a tiempo completo;Porcentaje;2022T2;86.2
Total nacional;Jornada a tiempo completo;Porcentaje;2022T1;86.0
Total nacional;Jornada a tiempo completo;Porcentaje;2021T4;86.4
Total nacional;Jornada a tiempo completo;Porcentaje;2021T3;86.6
Total nacional;Jornada a tiempo completo;Porcentaje;2021T2;85.6
Total nacional;Jornada a tiempo completo;Porcentaje;2021T1;85.9
Total nacional;Jornada a tiempo completo;Porcentaje;2020T4;85.5
Total nacional;Jornada a tiempo completo;Porcentaje;2020T3;86.2
Total nacional;Jornada a tiempo completo;Porcentaje;2020T2;86.6
Total nacional;Jornada a tiempo completo;Porcentaje;2020T1;85.5
Total nacional;Jornada a tiempo completo;Porcentaje;2019T4;85.3
Total nacional;Jornada a tiempo completo;Porcentaje;2019T3;86.0
Total nacional;Jornada a tiempo completo;Porcentaje;2019T2;85.1
Total nacional;Jornada a tiempo completo;Porcentaje;2019T1;85.1
Total nacional;Jornada a tiempo completo;Porcentaje;2018T4;85.2
Total nacional;Jornada a tiempo completo;Porcentaje;2018T3;86.1
Total nacional;Jornada a tiempo completo;Porcentaje;2018T2;85.0
Total nacional;Jornada a tiempo completo;Porcentaje;2018T1;85.1
Total nacional;Jornada a tiempo completo;Porcentaje;2017T4;85.2
Total nacional;Jornada a tiempo completo;Porcentaje;2017T3;85.7
Total nacional;Jornada a tiempo completo;Porcentaje;2017T2;84.7
Total nacional;Jornada a tiempo completo;Porcentaje;2017T1;84.4
Total nacional;Jornada a tiempo completo;Porcentaje;2016T4;84.7
Total nacional;Jornada a tiempo completo;Porcentaje;2016T3;85.4
Total nacional;Jornada a tiempo completo;Porcentaje;2016T2;84.7
Total nacional;Jornada a tiempo completo;Porcentaje;2016T1;84.3
Total nacional;Jornada a tiempo completo;Porcentaje;2015T4;84.3
Total nacional;Jornada a tiempo completo;Porcentaje;2015T3;84.8
Total nacional;Jornada a tiempo completo;Porcentaje;2015T2;84.2
Total nacional;Jornada a tiempo completo;Porcentaje;2015T1;83.7
Total nacional;Jornada a tiempo completo;Porcentaje;2014T4;83.9
Total nacional;Jornada a tiempo completo;Porcentaje;2014T3;85.0
Total nacional;Jornada a tiempo completo;Porcentaje;2014T2;83.6
Total nacional;Jornada a tiempo completo;Porcentaje;2014T1;83.8
Total nacional;Jornada a tiempo completo;Porcentaje;2013T4;83.9
Total nacional;Jornada a tiempo completo;Porcentaje;2013T3;84.8
Total nacional;Jornada a tiempo completo;Porcentaje;2013T2;83.9
Total nacional;Jornada a tiempo completo;Porcentaje;2013T1;84.2
Total nacional;Jornada a tiempo completo;Porcentaje;2012T4;84.9
Total nacional;Jornada a tiempo completo;Porcentaje;2012T3;85.9
Total nacional;Jornada a tiempo completo;Porcentaje;2012T2;85.3
Total nacional;Jornada a tiempo completo;Porcentaje;2012T1;85.9
Total nacional;Jornada a tiempo completo;Porcentaje;2011T4;86.5
Total nacional;Jornada a tiempo completo;Porcentaje;2011T3;87.0
