tipo_jornada,codigo_cnae,descripcion_cnae,componente_coste,anio,trimestre,periodo,coste_salarial_mensual_eur
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2017,T1,2017-T1,1829.13
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2016,T4,2016-T4,2010.73
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2016,T3,2016-T3,1804.01
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2016,T2,2016-T2,1943.01
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2016,T1,2016-T1,1832.26
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2015,T4,2015-T4,2026.14
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2015,T3,2015-T3,1809.88
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2015,T2,2015-T2,1941.74
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2015,T1,2015-T1,1831.7
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2014,T4,2014-T4,1991.84
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2014,T3,2014-T3,1800.46
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2014,T2,2014-T2,1929.58
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2014,T1,2014-T1,1805.76
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2013,T4,2013-T4,1995.68
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2013,T3,2013-T3,1801.42
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2013,T2,2013-T2,1928.72
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2013,T1,2013-T1,1809.22
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2012,T4,2012-T4,1946.91
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2012,T3,2012-T3,1805.63
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2012,T2,2012-T2,1939.73
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2012,T1,2012-T1,1841.89
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2011,T4,2011-T4,2020.13
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2011,T3,2011-T3,1800.84
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2011,T2,2011-T2,1938.78
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total,2011,T1,2011-T1,1819.62
